INDV1 INDV2 Ajk
ser_bal_014 ser_bal_148 0.003
ser_bal_014 ser_bal_149 0.009
ser_bal_014 ser_bal_150 0.018
ser_bal_014 ser_bal_151 -0.012
ser_bal_014 ser_bal_152 0.009
ser_bal_014 ser_bal_153 -0.001
ser_bal_014 ser_bal_154 0.012
ser_bal_014 ser_bal_155 -0.005
ser_bal_014 ser_bal_156 0.005
ser_bal_014 ser_bal_157 0.004
ser_bal_014 ser_bal_158 0.001
ser_bal_014 ser_bal_159 0.014
ser_bal_014 ser_bal_160 0.001
ser_bal_014 ser_bal_161 0.001
ser_bal_014 ser_bal_162 0.007
ser_bal_014 ser_bal_163 0.005
ser_bal_014 ser_bal_164 0.009
ser_bal_014 ser_bal_165 0
ser_bal_014 ser_bal_166 0.002
ser_bal_014 ser_bal_167 0.011
ser_bal_014 ser_bal_168 0.01
ser_bal_014 ser_bal_169 0.013
ser_bal_014 ser_bal_170 0.013
ser_bal_014 ser_bal_171 -0.007
ser_bal_014 ser_bal_172 0.002
ser_bal_014 ser_bal_173 0.003
ser_bal_014 ser_bal_174 0.011
ser_bal_014 ser_bal_175 0.007
ser_bal_014 ser_bal_176 0.014
ser_bal_014 ser_bal_178 0.011
ser_bal_014 ser_bal_179 0.001
ser_bal_014 ser_bal_180 0.013
ser_bal_014 ser_bal_181 0.011
ser_bal_014 ser_bal_182 0.007
ser_bal_014 ser_bal_183 0.022
ser_bal_014 ser_bal_184 0.014
ser_bal_014 ser_bal_185 0.001
ser_bal_014 ser_bal_186 0.01
ser_bal_014 ser_bal_187 0.01
ser_bal_014 ser_bal_188 0.025
ser_bal_014 ser_bal_189 0.007
ser_bal_014 ser_bal_190 0.008
ser_bal_014 ser_bal_191 0.001
ser_bal_014 ser_bal_192 -0.006
ser_bal_014 ser_bal_193 0.008
ser_bal_014 ser_bal_194 0.004
ser_bal_014 ser_bal_195 0.002
ser_bal_014 ser_bal_196 -0.001
ser_bal_014 ser_bal_197 0.01
ser_bal_014 ser_bal_198 0.005
ser_bal_014 ser_bal_199 -0.006
ser_bal_014 ser_bal_200 -0.004
ser_bal_014 ser_bal_201 0.017
ser_bal_014 ser_bal_202 0.001
ser_bal_014 ser_bal_203 -0.012
ser_bal_014 ser_bal_204 0.019
ser_bal_014 ser_bal_205 0.021
ser_bal_014 ser_fra_028 0.015
ser_bal_014 ser_fra_029 0.021
ser_bal_014 ser_fra_030 0.015
ser_bal_014 ser_fra_031 0.024
ser_bal_014 ser_fra_032 0.01
ser_bal_014 ser_fra_033 0.011
ser_bal_014 ser_fra_034 0.002
ser_bal_014 ser_fra_035 0.014
ser_bal_014 ser_fra_036 0.016
ser_bal_014 ser_fra_037 0.018
ser_bal_014 ser_fra_038 0.013
ser_bal_014 ser_fra_039 0.011
ser_bal_014 ser_fra_040 0.006
ser_bal_014 ser_fra_041 0.005
ser_bal_014 ser_fra_042 0.008
ser_bal_014 ser_fra_043 -0.006
ser_bal_014 ser_fra_044 0.009
ser_bal_014 ser_fra_045 0.015
ser_bal_014 ser_fra_046 0.006
ser_bal_014 ser_fra_047 0.014
ser_bal_014 ser_fra_048 -0.002
ser_bal_014 ser_fra_049 0.005
ser_bal_014 ser_fra_050 0.011
ser_bal_014 ser_fra_051 -0.011
ser_bal_014 ser_fra_052 0
ser_bal_014 ser_fra_053 0.009
ser_bal_014 ser_fra_054 0.006
ser_bal_014 ser_fra_055 0.005
ser_bal_014 ser_fra_056 0.007
ser_bal_014 ser_fra_057 0.021
ser_bal_014 ser_fra_058 0.005
ser_bal_014 ser_fra_059 0.009
ser_bal_014 ser_fra_060 0.005
ser_bal_014 ser_fra_061 0.008
ser_bal_014 ser_fra_062 0.01
ser_bal_014 ser_fra_063 0.007
ser_bal_014 ser_fra_064 0.015
ser_bal_014 ser_fra_065 -0.015
ser_bal_014 ser_fra_066 0.011
ser_bal_014 ser_fra_067 0.004
ser_bal_014 ser_fra_068 0.011
ser_bal_014 ser_fra_069 0.018
ser_bal_014 ser_fra_070 0.008
ser_bal_014 ser_fra_071 -0.003
ser_bal_014 ser_spaAL_001 -0.014
ser_bal_014 ser_spaAL_002 0.002
ser_bal_014 ser_spaAL_003 0.007
ser_bal_014 ser_spaAL_004 0.003
ser_bal_014 ser_spaAL_006 0.003
ser_bal_014 ser_spaAL_008 0.004
ser_bal_014 ser_spaAL_009 0.012
ser_bal_014 ser_spaAL_010 0.008
ser_bal_014 ser_spaAL_012 0.025
ser_bal_014 ser_spaAL_017 -0.019
ser_bal_014 ser_spaAL_019 0.015
ser_bal_014 ser_spaAL_020 0.013
ser_bal_014 ser_spaAL_021 0.019
ser_bal_014 ser_spaAL_022 0.008
ser_bal_014 ser_spaAL_023 -0.024
ser_bal_014 ser_spaAL_024 -0.001
ser_bal_014 ser_spaAL_025 -0.001
ser_bal_014 ser_spaAL_026 0.009
ser_bal_014 ser_spaAL_027 0.014
ser_bal_014 ser_spaAL_028 -0.011
ser_bal_014 ser_spaAL_029 0.008
ser_bal_014 ser_spaAL_030 0.015
ser_bal_014 ser_spaAL_032 -0.007
ser_bal_014 ser_spaAL_033 0.005
ser_bal_014 ser_spaAL_034 -0.003
ser_bal_014 ser_spaAL_035 0.002
ser_bal_014 ser_spaAL_037 -0.025
ser_bal_014 ser_spaAL_038 0.004
ser_bal_014 ser_spaAL_040 -0.021
ser_bal_014 ser_spaAL_041 -0.036
ser_bal_014 ser_spaAL_042 -0.008
ser_bal_014 ser_spaAL_043 0.008
ser_bal_014 ser_spaAL_044 -0.023
ser_bal_014 ser_spaAL_045 0.021
ser_bal_014 ser_spaAL_046 0.015
ser_bal_014 ser_spaAL_048 -0.016
ser_bal_014 ser_spaAL_050 0.001
ser_bal_014 ser_spaAL_051 0.006
ser_bal_014 ser_spaAL_054 -0.034
ser_bal_014 ser_spaAL_059 -0.022
ser_bal_014 ser_spaAL_061 -0.03
ser_bal_014 ser_spaAL_065 0.023
ser_bal_014 ser_spaAL_066 0.002
ser_bal_014 ser_spaAL_067 -0.007
ser_bal_014 ser_spaAL_071 -0.002
ser_bal_014 ser_spaAL_072 0.011
ser_bal_014 ser_spaAL_073 0.001
ser_bal_014 ser_spaAL_074 0.009
ser_bal_014 ser_spaAL_075 0.002
ser_bal_014 ser_spaN_037 0.01
ser_bal_014 ser_spaN_038 0.013
ser_bal_014 ser_spaN_039 0.014
ser_bal_014 ser_spaS_002 -0.018
ser_bal_014 ser_spaS_003 -0.015
ser_bal_014 ser_spaS_004 -0.021
ser_bal_014 ser_spaS_005 -0.01
ser_bal_014 ser_spaS_007 -0.021
ser_bal_014 ser_spaS_008 -0.034
ser_bal_014 ser_spaS_009 -0.029
ser_bal_014 ser_spaS_010 -0.026
ser_bal_014 ser_spaS_011 -0.005
ser_bal_014 ser_spaS_012 -0.01
ser_bal_014 ser_spaS_013 -0.02
ser_bal_014 ser_spaS_014 -0.014
ser_bal_014 ser_spaS_015 -0.026
ser_bal_014 ser_spaS_016 -0.014
ser_bal_014 ser_spaS_017 -0.001
ser_bal_014 ser_spaS_018 -0.016
ser_bal_014 ser_spaS_019 -0.018
ser_bal_014 ser_spaS_020 -0.023
ser_bal_014 ser_spaS_021 0.008
ser_bal_014 ser_spaS_022 -0.039
ser_bal_014 ser_spaS_023 -0.033
ser_bal_014 ser_spaS_024 -0.005
ser_bal_014 ser_spaS_025 -0.006
ser_bal_014 ser_spaS_026 -0.015
ser_bal_014 ser_spaS_027 -0.016
ser_bal_014 ser_spaS_028 0.001
ser_bal_014 ser_spaS_029 0
ser_bal_014 ser_spaS_030 -0.028
ser_bal_014 ser_spaS_031 -0.017
ser_bal_014 ser_spaS_032 -0.021
ser_bal_014 ser_spaS_033 -0.02
ser_bal_014 ser_spaS_034 -0.024
ser_bal_014 ser_spaS_035 -0.029
ser_bal_014 ser_spaS_036 -0.021
ser_bal_014 ser_spaS_037 -0.012
ser_bal_014 ser_spaS_039 -0.022
ser_bal_014 ser_spaS_040 -0.02
ser_bal_014 ser_spaS_041 -0.029
ser_bal_014 ser_spaS_042 -0.025
ser_bal_014 ser_spaS_043 0.017
ser_bal_014 ser_spaS_044 -0.027
ser_bal_014 ser_spaS_045 0
ser_bal_014 ser_spaS_046 -0.025
ser_bal_014 ser_spaS_047 0.002
ser_bal_014 ser_spaS_048 0.004
ser_bal_014 ser_spaS_049 -0.018
ser_bal_014 ser_spaS_050 -0.007
ser_bal_014 ser_spaS_051 -0.025
ser_bal_014 ser_spaS_052 -0.016
ser_bal_014 ser_spaS_053 -0.02
ser_bal_014 ser_spaS_054 -0.028
ser_bal_014 ser_spaS_055 0.017
ser_bal_014 ser_spaS_056 -0.03
ser_bal_014 ser_spaS_057 -0.025
ser_bal_014 ser_spaS_058 -0.025
ser_bal_014 ser_spaS_059 -0.016
ser_bal_014 ser_spaS_060 0
ser_bal_014 ser_spaS_061 -0.019
ser_bal_014 ser_spaS_062 -0.014
ser_bal_014 ser_spaS_063 -0.028
ser_bal_014 ser_spaS_064 -0.021
ser_bal_014 ser_spaS_065 -0.03
ser_bal_014 ser_spaS_066 -0.031
ser_bal_014 ser_spaS_067 -0.029
ser_bal_014 ser_spaS_068 -0.02
ser_bal_014 ser_spaS_070 -0.028
ser_bal_014 ser_spaS_071 -0.022
ser_bal_014 ser_spaS_072 0.015
ser_bal_014 ser_spaS_073 -0.002
ser_bal_014 ser_spaS_074 -0.001
ser_bal_014 ser_spaS_075 0.006
ser_bal_014 ser_spaS_076 -0.012
ser_bal_014 ser_spaS_077 -0.019
ser_bal_014 ser_spaS_078 -0.007
ser_bal_014 ser_spaS_079 -0.026
ser_bal_014 ser_spaS_080 -0.024
ser_bal_014 ser_spaS_081 -0.02
ser_bal_014 ser_spaS_082 0.002
ser_bal_014 ser_spaS_083 -0.026
ser_bal_014 ser_spaS_084 -0.02
ser_bal_014 ser_spaS_085 0.006
ser_bal_014 ser_spaS_086 0.013
ser_bal_014 ser_spaS_087 0.022
ser_bal_014 ser_spaS_088 -0.017
ser_bal_014 ser_spaS_089 -0.017
ser_bal_014 ser_spaS_090 -0.009
ser_bal_014 ser_spaS_091 -0.01
ser_bal_014 ser_spaS_092 -0.016
ser_bal_014 ser_spaS_093 -0.033
ser_bal_014 ser_spaS_094 -0.011
ser_bal_014 ser_spaS_095 -0.023
ser_bal_014 ser_spaS_096 0.004
ser_bal_014 ser_spaS_097 -0.003
ser_bal_014 ser_spaS_098 -0.019
ser_bal_014 ser_spaS_099 -0.018
ser_bal_014 ser_spaS_100 -0.028
ser_bal_014 ser_spaS_101 -0.026
ser_bal_014 ser_spaS_102 -0.017
ser_bal_014 ser_spaS_103 -0.03
ser_bal_014 ser_spaS_104 -0.001
ser_bal_014 ser_spaS_105 0.007
ser_bal_014 ser_spaS_106 0.001
ser_bal_014 ser_spaS_107 0.015
ser_bal_014 ser_spaS_108 0.009
ser_bal_014 ser_spaS_109 0.007
ser_bal_014 ser_spaS_110 0.006
ser_bal_014 ser_spaS_111 0.018
ser_bal_014 ser_spaS_112 -0.014
ser_bal_014 ser_spaS_113 -0.02
ser_bal_014 ser_spaS_114 -0.026
ser_bal_014 ser_spaS_116 0.003
ser_bal_014 ser_spaS_117 -0.017
ser_bal_014 ser_spaS_121 0.002
ser_bal_014 ser_spaS_122 -0.026
ser_bal_014 ser_spaS_123 -0.017
ser_bal_014 ser_spaS_124 -0.012
ser_bal_014 ser_spaS_125 0.013
ser_bal_014 ser_spaS_126 -0.001
ser_bal_014 ser_spaS_127 -0.028
ser_bal_014 ser_spaS_128 -0.013
ser_bal_014 ser_spaS_129 -0.022
ser_bal_014 ser_spaS_130 -0.01
ser_bal_014 ser_spaS_131 0.01
ser_bal_014 ser_spaS_132 -0.018
ser_bal_014 ser_spaS_133 0.006
ser_bal_014 ser_spaS_135 -0.019
ser_bal_014 ser_spaS_136 0.018
ser_bal_014 ser_spaS_137 0.003
ser_bal_014 ser_spaS_138 -0.022
ser_bal_014 ser_spaS_139 -0.017
ser_bal_014 ser_spaS_140 -0.036
ser_bal_014 ser_spaS_141 -0.03
ser_bal_014 ser_spaS_142 -0.026
ser_bal_014 ser_spaS_143 -0.004
ser_bal_014 ser_spaS_144 0.014
ser_bal_014 ser_spaS_145 -0.001
ser_bal_014 ser_spaS_146 -0.003
ser_bal_014 ser_spaS_147 0.007
ser_bal_014 ser_spaS_148 -0.021
ser_bal_014 ser_spaS_149 -0.004
ser_bal_014 ser_spaS_150 -0.02
ser_bal_014 ser_spaS_151 0.005
ser_bal_014 ser_spaS_152 -0.004
ser_bal_014 ser_spaS_153 -0.02
ser_bal_015 ser_bal_016 0.013
ser_bal_015 ser_bal_017 0.016
ser_bal_015 ser_bal_018 0
ser_bal_015 ser_bal_019 0.003
ser_bal_015 ser_bal_020 0.009
ser_bal_015 ser_bal_021 0.001
ser_bal_015 ser_bal_022 0.005
ser_bal_015 ser_bal_023 0.003
ser_bal_015 ser_bal_024 0.003
ser_bal_015 ser_bal_025 0.001
ser_bal_015 ser_bal_026 0.015
ser_bal_015 ser_bal_027 0.006
ser_bal_015 ser_bal_028 0.01
ser_bal_015 ser_bal_029 0.011
ser_bal_015 ser_bal_030 0.015
ser_bal_015 ser_bal_031 0.008
ser_bal_015 ser_bal_032 0.003
ser_bal_015 ser_bal_033 0.004
ser_bal_015 ser_bal_034 0.001
ser_bal_015 ser_bal_035 0.001
ser_bal_015 ser_bal_036 -0.003
ser_bal_015 ser_bal_037 0.009
ser_bal_015 ser_bal_038 0.01
ser_bal_015 ser_bal_039 0.011
ser_bal_015 ser_bal_040 0.007
ser_bal_015 ser_bal_041 -0.005
ser_bal_015 ser_bal_042 -0.002
ser_bal_015 ser_bal_043 0.023
ser_bal_015 ser_bal_044 -0.009
ser_bal_015 ser_bal_045 0.009
ser_bal_015 ser_bal_046 -0.005
ser_bal_015 ser_bal_047 -0.003
ser_bal_015 ser_bal_048 0.002
ser_bal_015 ser_bal_049 0.005
ser_bal_015 ser_bal_050 -0.002
ser_bal_015 ser_bal_051 -0.01
ser_bal_015 ser_bal_052 0.012
ser_bal_015 ser_bal_053 0
ser_bal_015 ser_bal_054 0.007
ser_bal_015 ser_bal_055 0.005
ser_bal_015 ser_bal_056 0.007
ser_bal_015 ser_bal_057 -0.004
ser_bal_015 ser_bal_058 -0.008
ser_bal_015 ser_bal_059 0.013
ser_bal_015 ser_bal_060 0.014
ser_bal_015 ser_bal_061 0
ser_bal_015 ser_bal_062 -0.003
ser_bal_015 ser_bal_063 -0.004
ser_bal_015 ser_bal_064 0.003
ser_bal_015 ser_bal_065 0.013
ser_bal_015 ser_bal_066 0
ser_bal_015 ser_bal_067 0.003
ser_bal_015 ser_bal_068 0.013
ser_bal_015 ser_bal_070 0.007
ser_bal_015 ser_bal_072 0.003
ser_bal_015 ser_bal_073 0.011
ser_bal_015 ser_bal_074 0.015
ser_bal_015 ser_bal_075 0.001
ser_bal_015 ser_bal_076 0.005
ser_bal_015 ser_bal_077 0.008
ser_bal_015 ser_bal_078 0.005
ser_bal_015 ser_bal_079 -0.011
ser_bal_015 ser_bal_080 -0.005
ser_bal_015 ser_bal_081 0.006
ser_bal_015 ser_bal_082 0.004
ser_bal_015 ser_bal_083 0
ser_bal_015 ser_bal_084 0.001
ser_bal_015 ser_bal_085 -0.001
ser_bal_015 ser_bal_086 0.004
ser_bal_015 ser_bal_087 -0.008
ser_bal_015 ser_bal_088 0.011
ser_bal_015 ser_bal_089 0.016
ser_bal_015 ser_bal_090 -0.003
ser_bal_015 ser_bal_091 -0.002
ser_bal_015 ser_bal_092 0.002
ser_bal_015 ser_bal_093 0.011
ser_bal_015 ser_bal_094 0.012
ser_bal_015 ser_bal_095 0.002
ser_bal_015 ser_bal_096 0.002
ser_bal_015 ser_bal_097 0.007
ser_bal_015 ser_bal_098 -0.011
ser_bal_015 ser_bal_099 -0.006
ser_bal_015 ser_bal_100 0.016
ser_bal_015 ser_bal_101 0.009
ser_bal_015 ser_bal_102 0.006
ser_bal_015 ser_bal_103 0.005
ser_bal_015 ser_bal_104 0
ser_bal_015 ser_bal_105 0.014
ser_bal_015 ser_bal_106 -0.004
ser_bal_015 ser_bal_107 -0.012
ser_bal_015 ser_bal_108 0.009
ser_bal_015 ser_bal_109 0.018
ser_bal_015 ser_bal_110 0.005
ser_bal_015 ser_bal_111 -0.002
ser_bal_015 ser_bal_112 0.005
ser_bal_015 ser_bal_113 -0.003
ser_bal_015 ser_bal_114 -0.001
ser_bal_015 ser_bal_115 0.004
ser_bal_015 ser_bal_116 0.011
ser_bal_015 ser_bal_117 0.006
ser_bal_015 ser_bal_118 0.019
ser_bal_015 ser_bal_119 0.006
ser_bal_015 ser_bal_120 0.026
ser_bal_015 ser_bal_121 0.015
ser_bal_015 ser_bal_122 -0.001
ser_bal_015 ser_bal_123 0.009
ser_bal_015 ser_bal_124 0.006
ser_bal_015 ser_bal_125 -0.003
ser_bal_015 ser_bal_126 -0.002
ser_bal_015 ser_bal_127 0.007
ser_bal_015 ser_bal_128 0.015
ser_bal_015 ser_bal_129 0
ser_bal_015 ser_bal_130 0.012
ser_bal_015 ser_bal_131 0.005
ser_bal_015 ser_bal_133 0.003
ser_bal_015 ser_bal_134 0.012
ser_bal_015 ser_bal_135 0.009
ser_bal_015 ser_bal_136 0.011
ser_bal_015 ser_bal_137 -0.002
ser_bal_015 ser_bal_138 0.006
ser_bal_015 ser_bal_139 0.009
ser_bal_015 ser_bal_140 0.008
ser_bal_015 ser_bal_141 0.003
ser_bal_015 ser_bal_142 0.009
ser_bal_015 ser_bal_143 -0.005
ser_bal_015 ser_bal_144 -0.009
ser_bal_015 ser_bal_145 0.002
ser_bal_015 ser_bal_146 0.01
ser_bal_015 ser_bal_147 0.004
ser_bal_015 ser_bal_148 0.011
ser_bal_015 ser_bal_149 0.003
ser_bal_015 ser_bal_150 0.003
ser_bal_015 ser_bal_151 -0.004
ser_bal_015 ser_bal_152 0.007
ser_bal_015 ser_bal_153 0.003
ser_bal_015 ser_bal_154 0.009
ser_bal_015 ser_bal_155 0.008
ser_bal_015 ser_bal_156 0.005
ser_bal_015 ser_bal_157 0.009
ser_bal_015 ser_bal_158 0.011
ser_bal_015 ser_bal_159 0.01
ser_bal_015 ser_bal_160 0.004
ser_bal_015 ser_bal_161 0.003
ser_bal_015 ser_bal_162 0.01
ser_bal_015 ser_bal_163 -0.006
ser_bal_015 ser_bal_164 0.007
ser_bal_015 ser_bal_165 0.012
ser_bal_015 ser_bal_166 0.01
ser_bal_015 ser_bal_167 0.001
ser_bal_015 ser_bal_168 0.01
ser_bal_015 ser_bal_169 0.001
ser_bal_015 ser_bal_170 0
ser_bal_015 ser_bal_171 0.001
ser_bal_015 ser_bal_172 0.004
ser_bal_015 ser_bal_173 -0.007
ser_bal_015 ser_bal_174 0.009
ser_bal_015 ser_bal_175 0.003
ser_bal_015 ser_bal_176 -0.002
ser_bal_015 ser_bal_178 0.009
ser_bal_015 ser_bal_179 0.005
ser_bal_015 ser_bal_180 0.004
ser_bal_015 ser_bal_181 -0.003
ser_bal_015 ser_bal_182 -0.003
ser_bal_015 ser_bal_183 0.011
ser_bal_015 ser_bal_184 0
ser_bal_015 ser_bal_185 0.009
ser_bal_015 ser_bal_186 0.003
ser_bal_015 ser_bal_187 0.006
ser_bal_015 ser_bal_188 0.003
ser_bal_015 ser_bal_189 0.003
ser_bal_015 ser_bal_190 0.007
ser_bal_015 ser_bal_191 -0.001
ser_bal_015 ser_bal_192 0.011
ser_bal_015 ser_bal_193 0.008
ser_bal_015 ser_bal_194 -0.004
ser_bal_015 ser_bal_195 0.004
ser_bal_015 ser_bal_196 0.002
ser_bal_015 ser_bal_197 -0.003
ser_bal_015 ser_bal_198 0.013
ser_bal_015 ser_bal_199 -0.004
ser_bal_015 ser_bal_200 -0.004
ser_bal_015 ser_bal_201 0.005
ser_bal_015 ser_bal_202 -0.002
ser_bal_015 ser_bal_203 -0.009
ser_bal_015 ser_bal_204 -0.003
ser_bal_015 ser_bal_205 -0.006
ser_bal_015 ser_fra_028 0.014
ser_bal_015 ser_fra_029 0.01
ser_bal_015 ser_fra_030 0.006
ser_bal_015 ser_fra_031 0.002
ser_bal_015 ser_fra_032 0.011
ser_bal_015 ser_fra_033 0.006
ser_bal_015 ser_fra_034 -0.012
ser_bal_015 ser_fra_035 0.004
ser_bal_015 ser_fra_036 0.012
ser_bal_015 ser_fra_037 0.01
ser_bal_015 ser_fra_038 0.004
ser_bal_015 ser_fra_039 -0.001
ser_bal_015 ser_fra_040 0.006
ser_bal_015 ser_fra_041 0.004
ser_bal_015 ser_fra_042 0.005
ser_bal_015 ser_fra_043 0.004
ser_bal_015 ser_fra_044 0.008
ser_bal_015 ser_fra_045 0.006
ser_bal_015 ser_fra_046 0.003
ser_bal_015 ser_fra_047 0.001
ser_bal_015 ser_fra_048 0.004
ser_bal_015 ser_fra_049 0.003
ser_bal_015 ser_fra_050 0
ser_bal_015 ser_fra_051 0.003
ser_bal_015 ser_fra_052 0
ser_bal_015 ser_fra_053 0.01
ser_bal_015 ser_fra_054 0.01
ser_bal_015 ser_fra_055 0.003
ser_bal_015 ser_fra_056 -0.007
ser_bal_015 ser_fra_057 0.009
ser_bal_015 ser_fra_058 -0.012
ser_bal_015 ser_fra_059 0.005
ser_bal_015 ser_fra_060 0.012
ser_bal_015 ser_fra_061 0.002
ser_bal_015 ser_fra_062 -0.001
ser_bal_015 ser_fra_063 0.004
ser_bal_015 ser_fra_064 0.001
ser_bal_015 ser_fra_065 -0.007
ser_bal_015 ser_fra_066 0
ser_bal_015 ser_fra_067 0.011
ser_bal_015 ser_fra_068 0.005
ser_bal_015 ser_fra_069 0.009
ser_bal_015 ser_fra_070 -0.003
ser_bal_015 ser_fra_071 0.006
ser_bal_015 ser_spaAL_001 0.003
ser_bal_015 ser_spaAL_002 0.01
ser_bal_015 ser_spaAL_003 -0.003
ser_bal_015 ser_spaAL_004 -0.004
ser_bal_015 ser_spaAL_006 0.017
ser_bal_015 ser_spaAL_008 0.009
ser_bal_015 ser_spaAL_009 0.008
ser_bal_015 ser_spaAL_010 0.012
ser_bal_015 ser_spaAL_012 0.003
ser_bal_015 ser_spaAL_017 -0.007
ser_bal_015 ser_spaAL_019 -0.01
ser_bal_015 ser_spaAL_020 0.006
ser_bal_015 ser_spaAL_021 0.009
ser_bal_015 ser_spaAL_022 -0.017
ser_bal_015 ser_spaAL_023 -0.015
ser_bal_015 ser_spaAL_024 0.012
ser_bal_015 ser_spaAL_025 0.008
ser_bal_015 ser_spaAL_026 0.001
ser_bal_015 ser_spaAL_027 -0.003
ser_bal_015 ser_spaAL_028 -0.002
ser_bal_015 ser_spaAL_029 0
ser_bal_015 ser_spaAL_030 0.006
ser_bal_015 ser_spaAL_032 -0.006
ser_bal_015 ser_spaAL_033 0.002
ser_bal_015 ser_spaAL_034 0.011
ser_bal_015 ser_spaAL_035 0
ser_bal_015 ser_spaAL_037 -0.015
ser_bal_015 ser_spaAL_038 -0.001
ser_bal_015 ser_spaAL_040 -0.015
ser_bal_015 ser_spaAL_041 -0.014
ser_bal_015 ser_spaAL_042 0.012
ser_bal_015 ser_spaAL_043 0.013
ser_bal_015 ser_spaAL_044 -0.01
ser_bal_015 ser_spaAL_045 -0.005
ser_bal_015 ser_spaAL_046 0.014
ser_bal_015 ser_spaAL_048 -0.007
ser_bal_015 ser_spaAL_050 -0.009
ser_bal_015 ser_spaAL_051 0.013
ser_bal_015 ser_spaAL_054 -0.013
ser_bal_015 ser_spaAL_059 -0.017
ser_bal_015 ser_spaAL_061 -0.009
ser_bal_015 ser_spaAL_065 0.012
ser_bal_015 ser_spaAL_066 -0.001
ser_bal_015 ser_spaAL_067 -0.019
ser_bal_015 ser_spaAL_071 0.006
ser_bal_015 ser_spaAL_072 -0.008
ser_bal_015 ser_spaAL_073 -0.002
ser_bal_015 ser_spaAL_074 -0.007
ser_bal_015 ser_spaAL_075 -0.005
ser_bal_015 ser_spaN_037 0.001
ser_bal_015 ser_spaN_038 0.003
ser_bal_015 ser_spaN_039 0.008
ser_bal_015 ser_spaS_002 -0.007
ser_bal_015 ser_spaS_003 -0.011
ser_bal_015 ser_spaS_004 -0.006
ser_bal_015 ser_spaS_005 -0.003
ser_bal_015 ser_spaS_007 -0.007
ser_bal_015 ser_spaS_008 -0.013
ser_bal_015 ser_spaS_009 -0.011
ser_bal_015 ser_spaS_010 -0.001
ser_bal_015 ser_spaS_011 -0.01
ser_bal_015 ser_spaS_012 0.013
ser_bal_015 ser_spaS_013 -0.011
ser_bal_015 ser_spaS_014 -0.014
ser_bal_015 ser_spaS_015 -0.013
ser_bal_015 ser_spaS_016 -0.003
ser_bal_015 ser_spaS_017 -0.001
ser_bal_015 ser_spaS_018 -0.015
ser_bal_015 ser_spaS_019 -0.016
ser_bal_015 ser_spaS_020 -0.008
ser_bal_015 ser_spaS_021 -0.003
ser_bal_015 ser_spaS_022 -0.026
ser_bal_015 ser_spaS_023 -0.007
ser_bal_015 ser_spaS_024 -0.004
ser_bal_015 ser_spaS_025 0.002
ser_bal_015 ser_spaS_026 -0.007
ser_bal_015 ser_spaS_027 -0.02
ser_bal_015 ser_spaS_028 0
ser_bal_015 ser_spaS_029 0.001
ser_bal_015 ser_spaS_030 -0.016
ser_bal_015 ser_spaS_031 -0.018
ser_bal_015 ser_spaS_032 -0.012
ser_bal_015 ser_spaS_033 -0.014
ser_bal_015 ser_spaS_034 -0.014
ser_bal_015 ser_spaS_035 -0.017
ser_bal_015 ser_spaS_036 -0.021
ser_bal_015 ser_spaS_037 -0.011
ser_bal_015 ser_spaS_039 -0.001
ser_bal_015 ser_spaS_040 -0.018
ser_bal_015 ser_spaS_041 -0.012
ser_bal_015 ser_spaS_042 -0.009
ser_bal_015 ser_spaS_043 0.006
ser_bal_015 ser_spaS_044 -0.011
ser_bal_015 ser_spaS_045 0.002
ser_bal_015 ser_spaS_046 -0.015
ser_bal_015 ser_spaS_047 0.006
ser_bal_015 ser_spaS_048 0.007
ser_bal_015 ser_spaS_049 -0.001
ser_bal_015 ser_spaS_050 -0.015
ser_bal_015 ser_spaS_051 -0.019
ser_bal_015 ser_spaS_052 -0.015
ser_bal_015 ser_spaS_053 -0.014
ser_bal_015 ser_spaS_054 -0.007
ser_bal_015 ser_spaS_055 -0.008
ser_bal_015 ser_spaS_056 -0.02
ser_bal_015 ser_spaS_057 -0.014
ser_bal_015 ser_spaS_058 -0.023
ser_bal_015 ser_spaS_059 -0.01
ser_bal_015 ser_spaS_060 -0.003
ser_bal_015 ser_spaS_061 0.001
ser_bal_015 ser_spaS_062 -0.007
ser_bal_015 ser_spaS_063 -0.013
ser_bal_015 ser_spaS_064 -0.015
ser_bal_015 ser_spaS_065 -0.017
ser_bal_015 ser_spaS_066 -0.008
ser_bal_015 ser_spaS_067 -0.025
ser_bal_015 ser_spaS_068 -0.004
ser_bal_015 ser_spaS_070 0.003
ser_bal_015 ser_spaS_071 -0.013
ser_bal_015 ser_spaS_072 0.009
ser_bal_015 ser_spaS_073 -0.009
ser_bal_015 ser_spaS_074 -0.018
ser_bal_015 ser_spaS_075 0.001
ser_bal_015 ser_spaS_076 -0.007
ser_bal_015 ser_spaS_077 -0.029
ser_bal_015 ser_spaS_078 -0.011
ser_bal_015 ser_spaS_079 -0.024
ser_bal_015 ser_spaS_080 -0.02
ser_bal_015 ser_spaS_081 -0.017
ser_bal_015 ser_spaS_082 0.004
ser_bal_015 ser_spaS_083 -0.015
ser_bal_015 ser_spaS_084 -0.005
ser_bal_015 ser_spaS_085 0
ser_bal_015 ser_spaS_086 0
ser_bal_015 ser_spaS_087 0.011
ser_bal_015 ser_spaS_088 -0.009
ser_bal_015 ser_spaS_089 -0.006
ser_bal_015 ser_spaS_090 -0.008
